route	page	station	platform	usable length [m]	notes
AR	0168	Walthamstow Queens Road	2 (Down)	84.7	
AR	0168	Walton-on-the-Naze	Single	175	(165m in operational use for Class 720)
AR	0168	Wanstead Park	1 (Up)	95	
AR	0168	Wanstead Park	2 (Down)	88.5	
AR	0168	Ware	Single	276	
AR	0168	Waterbeach	1 (Up)	167	
AR	0168	Waterbeach	2 (Down)	167	No ASDO until issue with AHB Xing resolved
AR	0168	Watlington	1 (Up)	90	Trains longer than 4 cars can call providing they are equipped with SDO (Selective Door Opening) equipment
AR	0168	Watlington	2 (Down)	106	Trains longer than 5 cars can call providing they are equipped with SDO (Selective Door Opening) equipment
AR	0168	Weeley	1 (Up)	175	10-car 720 permitted with ASDO operation
AR	0168	Weeley	2 (Down)	175	10-car 720 permitted with ASDO operation
AR	0168	West Ham	7 Up	248	LTS route
AR	0168	West Ham	8 Down	248	LTS route
AR	0168	West Hampstead	1 (Westbound)	105	
AR	0168	West Hampstead	2 (Eastbound)	120	
AR	0168	West Horndon	1 (Up)	248	
AR	0168	West Horndon	2 (Down)	248	
AR	0168	West Runton	Single	97	
AR	0168	Westcliff	1 (Up)	248	
AR	0168	Westcliff	2 (Down)	248	
AR	0168	Westerfield	1 (Up)	100	(71m in operational use in Up Direction; 91m in Down Direction)
AR	0168	Westerfield	2 (Down)	100	(88m in operational use)
AR	0168	White Hart Lane	1 (Up)	188.6	10-car 720 permitted with ASDO operation 12-car 745 permitted with ASDO operation
AR	0168	White Hart Lane	2 (Down)	188.6	10-car 720 permitted with ASDO operation 12-car 745 permitted with ASDO operation
AR	0168	White Notley	Single	249	
AR	0168	Whittlesea	1 (Down)	45	3/4-car 755 permitted with ASDO operation
AR	0168	Whittlesea	2 (Up)	62	3/4-car 755 permitted with ASDO operation
AR	0168	Whittlesford Parkway	1 (Up)	254	
AR	0168	Whittlesford Parkway	2 (Down)	254	
AR	0168	Wickford	1 (Down Bay)	122.1	
AR	0168	Wickford	2 (Down)	248	
AR	0168	Wickford	3 (Up)	252	
AR	0168	Wickford	4 (Up Bay)	105	Class 720 NOT permitted into this platform
AR	0168	Wickham Market	Single	80	
AR	0169	Willesden Junction High Level	4 (Eastbound)	101	
AR	0169	Willesden Junction High Level	5 (Westbound)	126	
AR	0169	Witham	1 (Up Loop)	250	
AR	0169	Witham	2 (Up)	249	12-car 745 permitted with ASDO operation
AR	0169	Witham	3 (Down)	252	
AR	0169	Witham	4 (Down Loop)	250	
AR	0169	Wivenhoe	1 (Up)	248	
AR	0169	Wivenhoe	2 (Down)	248	
AR	0169	Wood Street	1 (Up)	184.2	
AR	0169	Wood Street	2 (Down)	188.3	
AR	0169	Woodbridge	1 (Down)	142	(130m in operational use)
AR	0169	Woodbridge	2 (Up)	129	(53m in operational use)
AR	0169	Woodgrange Park	1 (Up)	89.5	
AR	0169	Woodgrange Park	2 (Down)	88	
AR	0169	Worstead	Single	79	(69m in operational use) 4-car 755 permitted with ASDO operation
AR	0169	Wrabness	1 (Up)	86	5-car 720 permitted with ASDO operation
AR	0169	Wrabness	2 (Down)	90	5-car 720 permitted with ASDO operation
AR	0169	Wymondham	1 (Down)	103.56	
AR	0169	Wymondham	2 (Up)	92	
EM	0108	Alfreton	Down	191	
EM	0108	Alfreton	Up	189	
EM	0108	Ambergate	Single	105	
EM	0108	Aslockton	Down	76	
EM	0108	Aslockton	Up	73	
EM	0108	Attenborough	Down	99	
EM	0108	Attenborough	Up	97	
EM	0108	Barrow on Soar	1	59	
EM	0108	Barrow on Soar	2	59	
EM	0108	Bedford	1A	81	
EM	0108	Bedford	1	261	
EM	0108	Bedford	2	261	
EM	0108	Bedford	3	261	
EM	0108	Bedford	4	240	
EM	0108	Beeston	1	142	
EM	0108	Beeston	2	142	
EM	0108	Belper	Down	116	
EM	0108	Belper	Up	118	
EM	0108	Bingham	Down	98	
EM	0108	Bingham	Up	98	
EM	0108	Bleasby	Up	81	
EM	0108	Bleasby	Down	90	
EM	0108	Blythe Bridge	2 (Down)	91	
EM	0108	Blythe Bridge	1 (Up)	91	
EM	0108	Brent Cross West	1	255	
EM	0108	Brent Cross West	2	255	
EM	0108	Brent Cross West	3	255	
EM	0108	Brent Cross West	4	255	
EM	0108	Bulwell	Single	80	
EM	0108	Burton Joyce	Down	102	
EM	0108	Burton Joyce	Up	94	
EM	0108	Burton on Trent	Down	217	
EM	0108	Burton on Trent	Up	217	
EM	0108	Carlton	Down	106	
EM	0108	Carlton	Up	111	
EM	0108	Chesterfield	1	212	
EM	0108	Chesterfield	2	204	
EM	0108	Chesterfield	3	240	
EM	0108	Corby	1	246	
EM	0108	Cricklewood	1	171	
EM	0108	Cricklewood	2	171	
EM	0108	Cricklewood	3	171	
EM	0108	Cricklewood	4	183	
EM	0109	Cromford	Single	114	
EM	0109	Derby	1	331	
EM	0109	Derby	2	334	
EM	0109	Derby	3	334*	*320 metres between signals for reversing services
EM	0109	Derby	4	337*	*320 metres between signals for reversing services
EM	0109	Derby	5	337*	*290 metres between signals for reversing services
EM	0109	Derby	6	338*	*337 metres between signals for reversing services
EM	0109	Duffield	Down	128	
EM	0109	Duffield	Up	128	
EM	0109	East Midlands Parkway	1	240	
EM	0109	East Midlands Parkway	2	240	
EM	0109	East Midlands Parkway	3	120	
EM	0109	East Midlands Parkway	4	120	
EM	0109	Elton and Orston	Down	105	
EM	0109	Elton and Orston	Up	105	
EM	0109	Elstree	1	245	
EM	0109	Elstree	2	245	
EM	0109	Elstree	3	176	
EM	0109	Elstree	4	177	
EM	0109	Farringdon	3	269	
EM	0109	Farringdon	4	269	
EM	0109	Fiskerton	Down	103	
EM	0109	Fiskerton	Up	96	
EM	0109	Flitwick	1	245	
EM	0109	Flitwick	2	245	
EM	0109	Flitwick	3	245	
EM	0109	Flitwick	4	245	
EM	0109	Harlington	1	245	
EM	0109	Harlington	2	245	
EM	0109	Harlington	3	168	
EM	0109	Harlington	4	178	
EM	0109	Harpenden	1	245	
EM	0109	Harpenden	2	245	
EM	0109	Harpenden	3	245	
EM	0109	Harpenden	4	245	
EM	0109	Hendon	1	166	
EM	0109	Hendon	2	170	
EM	0109	Hendon	3	172	
EM	0109	Hendon	4	166	
EM	0109	Hinckley	Down	104	
EM	0109	Hinckley	Up	104	
EM	0109	Hucknall	Single	79	
EM	0109	Kentish Town	1	192	
EM	0109	Kentish Town	2	201	
EM	0110	Kentish Town	3	201	
EM	0110	Kentish Town	4	174	
EM	0110	Kettering	1	247	
EM	0110	Kettering	2	247	
EM	0110	Kettering	3	247	
EM	0110	Kettering	4	247	
EM	0110	Kirby in Ashfield	1	80	
EM	0110	Kirby in Ashfield	2	80	
EM	0110	Langley Mill	Down	96	
EM	0110	Langley Mill	Up	96	
EM	0110	Leagrave	1	245	
EM	0110	Leagrave	2	245	
EM	0110	Leagrave	3	177	
EM	0110	Leagrave	4	245	
EM	0110	Leicester	1	270	Northbound
EM	0110	Leicester	1	272	Southbound
EM	0110	Leicester	2	281	
EM	0110	Leicester	3	281	
EM	0110	Leicester	4	288	
EM	0110	London St Pancras			See St Pancras
EM	0110	Long Eaton	Down	110	
EM	0110	Long Eaton	Up	113	
EM	0110	Longton	Down	88	
EM	0110	Longton	Up	85	
EM	0110	Loughborough	1	242	
EM	0110	Loughborough	2	242	
EM	0110	Loughborough	3	148	
EM	0110	Lowdham	Down	82	
EM	0110	Lowdham	Up	119	
EM	0110	Luton	1	255	
EM	0110	Luton	2	255	
EM	0110	Luton	3	254	
EM	0110	Luton	4	255	
EM	0110	Luton	5	251	
EM	0110	Luton Airport Parkway	1	245	
EM	0110	Luton Airport Parkway	2	245	
EM	0110	Luton Airport Parkway	3	245	
EM	0110	Luton Airport Parkway	4	245	
EM	0110	Mansfield Town	1	144	
EM	0110	Mansfield Town	2	102	
EM	0110	Mansfield Woodhouse	1	79	
EM	0110	Mansfield Woodhouse	2	76	
EM	0110	Mansfield Woodhouse	3	76	
EM	0110	Market Harborough	Down	250	
EM	0110	Market Harborough	Up	265	
EM	0110	Matlock	Single	123	
EM	0110	Matlock Bath	Single	185	
EM	0110	Melton Mowbray	Down	84	Barrow crossing misuse mitigation
EM	0110	Melton Mowbray	Up	86	Barrow crossing misuse mitigation
EM	0110	Mill Hill Broadway	1	245	
EM	0110	Mill Hill Broadway	2	245	
EM	0111	Mill Hill Broadway	3	245	
EM	0111	Mill Hill Broadway	4	245	
EM	0111	Narborough	Down	100	
EM	0111	Narborough	Up	100	
EM	0111	Netherfield	Down	155	
EM	0111	Netherfield	Up	155	
EM	0111	Newark Castle	Down	97	
EM	0111	Newark Castle	Up	66	
EM	0111	Newstead	Single	94	
EM	0111	Nottingham	1	306	313m train can be accommodated westbound (not reversing) 343m can be accommodated eastbound (not reversing)
EM	0111	Nottingham	2	92	
EM	0111	Nottingham	3	288	319m train can be accommodated eastbound (not reversing)
EM	0111	Nottingham	4	108	119 m train can be accommodated westbound (not reversing) 115 m train can be accommodated eastbound (not reversing)
EM	0111	Nottingham	5	146	
EM	0111	Nottingham	6	276	327m train can be accommodated westbound (not reversing)
EM	0111	Nottingham	7	261	
EM	0111	Oakham	Down	102	
EM	0111	Oakham	Up	139	
EM	0111	Peartree	Up	61	
EM	0111	Peartree	Down	64	
EM	0111	Radcliffe	Down	143	
EM	0111	Radcliffe	Up	187	
EM	0111	Radlett	1	245	
EM	0111	Radlett	2	245	
EM	0111	Radlett	3	170	
EM	0111	Radlett	4	170	
EM	0111	Rolleston	Down	142	
EM	0111	Rolleston	Up	140	
EM	0111	St Pancras International	1	260	East Midlands High Level platform
EM	0111	St Pancras International	2	260	East Midlands High Level platform
EM	0111	St Pancras International	3	260	East Midlands High Level platform
EM	0111	St Pancras International	4	260	East Midlands High Level platform
EM	0111	St Pancras International	14	274	Thameslink Low Level platform
EM	0111	St Pancras International	15	274	Thameslink Low Level platform
EM	0111	Sileby	1	58	
EM	0111	Sileby	2	58	
EM	0111	South Wigston	Down	97	
EM	0111	South Wigston	Up	95	
EM	0111	Spondon	Down	108	
EM	0111	Spondon	Up	72	
EM	0112	St. Albans City	1	245	
EM	0112	St. Albans City	2	245	
EM	0112	St. Albans City	3	245	
EM	0112	St. Albans City	4	245	
EM	0112	Stamford	Down	92	
EM	0112	Stamford	Up	92	
EM	0112	Sutton Parkway	1	80	
EM	0112	Sutton Parkway	2	80	
EM	0112	Syston	Single	56	
EM	0112	Thurgarton	Down	70	
EM	0112	Thurgarton	Up	70	
EM	0112	Tutbury	Down	93	
EM	0112	Tutbury	Up	93	
EM	0112	Uttoxeter	2 (Down)	69	
EM	0112	Uttoxeter	1 (Up)	77	
EM	0112	Wellingborough	1	245	
EM	0112	Wellingborough	2	245	
EM	0112	Wellingborough	3	245	
EM	0112	Wellingborough	4	245	
EM	0112	West Hampstead	1	245	
EM	0112	West Hampstead	2	245	
EM	0112	West Hampstead	3	245	
EM	0112	West Hampstead	4	245	
EM	0112	Whatstandwell	Single	69	
EM	0112	Willington	Down	81	
EM	0112	Willington	Up	81	
LNE	0306	Acklington	Down	114	
LNE	0306	Acklington	Up	114	
LNE	0306	Adwick	Down	104	
LNE	0306	Adwick	Up	104	
LNE	0306	Alexandra Palace	Down Hertford	169	
LNE	0306	Alexandra Palace	Down Slow	170	
LNE	0306	Alexandra Palace	Up Fast	167	
LNE	0306	Alexandra Palace	Up Slow	169	
LNE	0306	Allens West	Down	122	
LNE	0306	Allens West	Up	97	
LNE	0306	Alnmouth for Alnwick	Down	233	
LNE	0306	Alnmouth for Alnwick	Up	233	
LNE	0306	Althorpe	Down	102	
LNE	0306	Althorpe	Up	102	
LNE	0306	Ancaster	Down	87	
LNE	0306	Ancaster	Up	88	
LNE	0306	Apperley Bridge	Down	143	
LNE	0306	Apperley Bridge	Up	120	
LNE	0306	Arlesey	Down	245	
LNE	0306	Arlesey	Up	245	
LNE	0306	Arram	Down	79	
LNE	0306	Arram	Up	81	
LNE	0306	Ashington	Bay	103	
LNE	0306	Ashwell and Morden	Down	168	
LNE	0306	Ashwell and Morden	Up	167	
LNE	0306	Baildon	Single	102	
LNE	0306	Baldock	Down	168	
LNE	0306	Baldock	Up	168	
LNE	0306	Bamford (Derbyshire)	1	101	
LNE	0306	Bamford (Derbyshire)	2	103	
LNE	0306	Bardon Mill	Down	95	
LNE	0306	Bardon Mill	Up	91	
LNE	0306	Barnetby	Down Fast	116.5	
LNE	0306	Barnetby	Down Slow	103.5	
LNE	0306	Barnetby	Up Fast	115	
LNE	0306	Barnetby	Up Slow	116.5	
LNE	0306	Barnsley	Down	163	
LNE	0306	Barnsley	Up	102	
LNE	0306	Barrow Haven	Up	61.5	
LNE	0306	Barrow Haven	Down	46	
LNE	0306	Barton on Humber	Single	55	
LNE	0306	Batley	Down	119	
LNE	0306	Batley	Up	126	
LNE	0306	Battersby	Single	155	
LNE	0307	Bayford	Down	123	
LNE	0307	Bayford	Up	122	
LNE	0307	Bedlington	Down	100	
LNE	0307	Bedlington	Up	96	
LNE	0307	Bempton	Single – Down	117	
LNE	0307	Bempton	Single – Up	93	
LNE	0307	Ben Rhydding	Down	99	
LNE	0307	Ben Rhydding	Up	99	
LNE	0307	Bentley (S Yorkshire)	Down	104	
LNE	0307	Bentley (S Yorkshire)	Up	104	
LNE	0307	Berry Brow	Single	65	
LNE	0307	Berwick upon Tweed	Down	233	
LNE	0307	Berwick upon Tweed	Up	234	
LNE	0307	Beverley	Down	104	
LNE	0307	Beverley	Up	104	
LNE	0307	Biggleswade	Down Fast	247	
LNE	0307	Biggleswade	Down Slow	247	
LNE	0307	Biggleswade	Up Fast	246	
LNE	0307	Biggleswade	Up Slow	246	
LNE	0307	Billingham	Down	146	
LNE	0307	Billingham	Up	146	
LNE	0307	Bingley	Down	143	
LNE	0307	Bingley	Up	143	
LNE	0307	Bishop Auckland	Single	80	
LNE	0307	Blaydon	Down	97	
LNE	0307	Blaydon	Up	97	
LNE	0307	Blyth Bebside	Down	100	
LNE	0307	Blyth Bebside	Up	100	
LNE	0307	Bolton upon Dearne	Down	96	
LNE	0307	Bolton upon Dearne	Up	96	
LNE	0307	Boston	Down	173	
LNE	0307	Boston	Up	174	
LNE	0307	Bottesford	Down	139	
LNE	0307	Bottesford	Up	121	
LNE	0307	Bowes Park	Down	138	
LNE	0307	Bowes Park	Up	138	
LNE	0307	Bradford Forster Square	1	273	
LNE	0307	Bradford Forster Square	2	266	
LNE	0307	Bradford Forster Square	3	101	
LNE	0307	Bradford Interchange	1	209	
LNE	0307	Bradford Interchange	2	203	
LNE	0307	Bradford Interchange	3	126	
LNE	0307	Bradford Interchange	4	126	
LNE	0307	Bramley	Down	102	
LNE	0307	Bramley	Up	102	
LNE	0307	Brampton (Cumbria)	Down	106	
LNE	0307	Brampton (Cumbria)	Up	107	
LNE	0307	Bridlington	4	168 165	
LNE	0307	Bridlington	5	168	
LNE	0307	Bridlington	6	138 131	
LNE	0307	Bridlington	7	214	Out of use to passenger trains
LNE	0307	Brigg	Down	140	
LNE	0308	Brigg	Up	154	
LNE	0308	Brighouse	Down	118	
LNE	0308	Brighouse	Up	119	
LNE	0308	British Steel Redcar	Down	60	
LNE	0308	British Steel Redcar	Up	60	
LNE	0308	Brockholes	Single	65	
LNE	0308	Brockley Whins	Down	65	
LNE	0308	Brockley Whins	Up	65	
LNE	0308	Brookmans Park	Down Fast	123	
LNE	0308	Brookmans Park	Down Slow	123	
LNE	0308	Brookmans Park	Up Fast	123	
LNE	0308	Brookmans Park	Up Slow	123	
LNE	0308	Broomfleet	Down	95	
LNE	0308	Broomfleet	Up	95	
LNE	0308	Brough	Down	184	
LNE	0308	Brough	Up	184	
LNE	0308	Burley in Wharfedale	Down	141	
LNE	0308	Burley in Wharfedale	Up	118	
LNE	0308	Burley Park	Down	97	
LNE	0308	Burley Park	Up	97	
LNE	0308	Castleford	Down	101	
LNE	0308	Castleford	Up	97	
LNE	0308	Castleton Moor	Single	77	
LNE	0308	Cattal	Down	86	
LNE	0308	Cattal	Up	86	
LNE	0308	Chapeltown	Down	85	
LNE	0308	Chapeltown	Up	85	
LNE	0308	Chathill	Down	83	
LNE	0308	Chathill	Up	164	
LNE	0308	Chester le Street	Down	110	
LNE	0308	Chester le Street	Up	110	
LNE	0308	Chesterfield	1	212	
LNE	0308	Chesterfield	2	204	
LNE	0308	Chesterfield	3	240	
LNE	0308	Church Fenton	1	101	
LNE	0308	Church Fenton	2	132	
LNE	0308	Church Fenton	3	132	Down direction
LNE	0308	Church Fenton	3	121	Up direction
LNE	0308	Church Fenton	4	119	
LNE	0308	Cleethorpes	1	202	DMU restricted to 170
LNE	0308	Cleethorpes	2	205	DMU restricted to 174
LNE	0308	Cleethorpes	3	205	DMU restricted to 174
LNE	0308	Cleethorpes	4	203	
LNE	0308	Collingham	Down	54	
LNE	0308	Collingham	Up	52	
LNE	0308	Commondale	Single	51	
LNE	0308	Conisbrough	Down	117	
LNE	0308	Conisbrough	Up	97	
LNE	0308	Cononley	Down	116	
LNE	0308	Cononley	Up	95	
LNE	0308	Corbridge	Down	97	
LNE	0308	Corbridge	Up	100	
LNE	0308	Cottingham	Down	108	
LNE	0309	Cottingham	Up	108	
LNE	0309	Cottingley	Down	85	
LNE	0309	Cottingley	Up	85	
LNE	0309	Cramlington	Down	101	
LNE	0309	Cramlington	Up	101	
LNE	0309	Creswell	Down	79	
LNE	0309	Creswell	Up	79	
LNE	0309	Crews Hill	Down	126	
LNE	0309	Crews Hill	Up	126	
LNE	0309	Cross Gates	1	151	
LNE	0309	Cross Gates	2	148	
LNE	0309	Crossflatts	Down	102	
LNE	0309	Crossflatts	Up	102	
LNE	0309	Crowle	Down	90	
LNE	0309	Crowle	Up	89	
LNE	0309	Cuffley	Down	126	
LNE	0309	Cuffley	Up	126	
LNE	0309	Danby	Single	90	
LNE	0309	Darlington	1	354	Up direction
LNE	0309	Darlington	1	347	Down direction to T887 signal
LNE	0309	Darlington	2	181	
LNE	0309	Darlington	3	200	
LNE	0309	Darlington	4	458	Both directions
LNE	0309	Darlington	4	238	Up direction to T888 signal
LNE	0309	Darlington	4a	134	Down direction to T895 signal
LNE	0309	Darlington	4b	251	Down direction clear of 1080B points
LNE	0309	Darnall	Down	108	
LNE	0309	Darnall	Up	108	
LNE	0309	Darton	Down	104	
LNE	0309	Darton	Up	104	
LNE	0309	Deighton	Down	74	
LNE	0309	Deighton	Up	74	
LNE	0309	Denby Dale	Single	65	
LNE	0309	Dewsbury	Down	150	
LNE	0309	Dewsbury	Up	166	
LNE	0309	Dinsdale	Down	97	
LNE	0309	Dinsdale	Up	97	
LNE	0309	Dodworth	Single	95	
LNE	0309	Doncaster	0	96	
LNE	0309	Doncaster	1	327	Down direction
LNE	0309	Doncaster	1	234	Down direction to D1481 Signal
LNE	0309	Doncaster	1	318	Up direction to D278 Signal
LNE	0309	Doncaster	2	105	
LNE	0309	Doncaster	3a	246	Up direction from D292 to D282 Signal
LNE	0309	Doncaster	3b	165	
LNE	0309	Doncaster	4	299	Down Direction
LNE	0309	Doncaster	4	257	Up Direction
LNE	0309	Doncaster	5	57	
LNE	0309	Doncaster	6	109	
LNE	0309	Doncaster Middle Siding	Down	96	
LNE	0309	Doncaster	7	105	
LNE	0309	Doncaster	8	325	Down Direction
LNE	0309	Doncaster	8	285	Up Direction
LNE	0310	Dore & Totley	Single 1	100 152	
LNE	0310	Dore & Totley	2	152	
LNE	0310	Drayton Park	Down	124	
LNE	0310	Drayton Park	Up	124	
LNE	0310	Driffield	Down	124	
LNE	0310	Driffield	Up	103	
LNE	0310	Dronfield	Down	111	
LNE	0310	Dronfield	Up	111	
LNE	0310	Dunston	Down	94	
LNE	0310	Dunston	Up	93	
LNE	0310	Durham	Down	295	
LNE	0310	Durham	Up	264	
LNE	0310	Eaglescliffe	Down	208	
LNE	0310	Eaglescliffe	Up	190	
LNE	0310	East Boldon	Down	65	
LNE	0310	East Boldon	Up	65	
LNE	0310	East Garforth	Down	102	
LNE	0310	East Garforth	Up	102	
LNE	0310	Eastrington	Down	90	
LNE	0310	Eastrington	Up	90	
LNE	0310	Egton	Single	80	
LNE	0310	Elland	Up	125	
LNE	0310	Elland	Down	125	
LNE	0310	Elsecar	Down	130	
LNE	0310	Elsecar	Up	99	
LNE	0310	Enfield Chase	Down	126	
LNE	0310	Enfield Chase	Up	125	
LNE	0310	Essex Road	Down	128	
LNE	0310	Essex Road	Up	128	
LNE	0310	Featherstone	Down	101	
LNE	0310	Featherstone	Up	101	
LNE	0310	Fellgate	Down	65	
LNE	0310	Fellgate	Up	65	
LNE	0310	Ferriby	Down	110	
LNE	0310	Ferriby	Up	170	
LNE	0310	Filey	Down	119	
LNE	0310	Filey	Up	112	
LNE	0310	Finsbury Park	1	245	
LNE	0310	Finsbury Park	2	245	
LNE	0310	Finsbury Park	3	257	To sighting point of K384 signal.  Full length 263m
LNE	0310	Finsbury Park	4	249	
LNE	0310	Finsbury Park	5	246.5	
LNE	0310	Finsbury Park	6	178	
LNE	0310	Finsbury Park	7	239.5	
LNE	0310	Finsbury Park	8	168	
LNE	0310	Fitzwilliam	Down	93	
LNE	0310	Fitzwilliam	Up	93	
LNE	0310	Frizinghall	Down	98	
LNE	0310	Frizinghall	Up	98	
LNE	0310	Gainsborough Central	Down	138	
LNE	0310	Gainsborough Central	Up	138	
LNE	0310	Gainsborough Lea Road	Down	145	
LNE	0311	Gainsborough Lea Road	Up	144	
LNE	0311	Garforth	1	151	
LNE	0311	Garforth	2	149	
LNE	0311	Gargrave	Down	92.3	
LNE	0311	Gargrave	Up	88.8	
LNE	0311	Gilberdyke	Down	110	
LNE	0311	Gilberdyke	Up	110	
LNE	0311	Glaisdale	Down	92	
LNE	0311	Glaisdale	Up	86	
LNE	0311	Glasshoughton	Down	99	
LNE	0311	Glasshoughton	Up	99	
LNE	0311	Goldthorpe	Down	92	
LNE	0311	Goldthorpe	Up	92	
LNE	0311	Goole	Down	115	
LNE	0311	Goole	Up	104	
LNE	0311	Gordon Hill	Bay	122	
LNE	0311	Gordon Hill	Down	122	
LNE	0311	Gordon Hill	Up	122	
LNE	0311	Goxhill	Down	83	
LNE	0311	Goxhill	Up	83	
LNE	0311	Grange Park	Down	129	
LNE	0311	Grange Park	Up	129	
LNE	0311	Grantham	1	290	
LNE	0311	Grantham	2	289	
LNE	0311	Grantham	3	64	Platform 4 side.  Additional 31m on Platform 2 side
LNE	0311	Grantham	4	249	
LNE	0311	Great Ayton	Single	84	
LNE	0311	Great Coates	Down	55	
LNE	0311	Great Coates	Up	80	
LNE	0311	Grimsby Docks	Single	97	
LNE	0311	Grimsby Town	1	135	
LNE	0311	Grimsby Town	2	137	Down direction
LNE	0311	Grimsby Town	2	136	Up direction
LNE	0311	Grimsby Town	3	138	
LNE	0311	Grindleford	1	93	
LNE	0311	Grindleford	2	95	
LNE	0311	Grosmont	Single	83	
LNE	0311	Guiseley	Down	143	
LNE	0311	Guiseley	Up	143	
LNE	0311	Gypsy Lane	Single	98	81m only in Down direction
LNE	0311	Habrough	Down	110	
LNE	0311	Habrough	Up	115	
LNE	0311	Hadley Wood	Down Fast	126	
LNE	0311	Hadley Wood	Down Slow	186	
LNE	0311	Hadley Wood	Up Fast	126	
LNE	0311	Hadley Wood	Up Slow	186	
LNE	0311	Halifax	Down	187	
LNE	0311	Halifax	Up	186	
LNE	0311	Haltwhistle	Down	97	
LNE	0311	Haltwhistle	Up	97	
LNE	0311	Hammerton	Down	89	
LNE	0311	Hammerton	Up	86	
LNE	0312	Harringay	Down	125	
LNE	0312	Harringay	Up	126	
LNE	0312	Harrogate	1	221	Trains from Leeds, departing in York direction
LNE	0312	Harrogate	1	191	To H26 signal.  Trains from Leeds or York, departing in Leeds direction
LNE	0312	Harrogate	3	243	
LNE	0312	Hartlepool	1	76	
LNE	0312	Hartlepool	2	153 in the Down direction 137 in the up direction	
LNE	0312	Hartlepool	3	157	
LNE	0312	Hatfield	Down Fast	170	
LNE	0312	Hatfield	Down Slow	170	
LNE	0312	Hatfield	Up Slow	170	
LNE	0312	Hatfield and Stainforth	Down	111	
LNE	0312	Hatfield and Stainforth	Up	107	
LNE	0312	Hathersage	1	95	
LNE	0312	Hathersage	2	100	
LNE	0312	Havenhouse	Down	48	
LNE	0312	Havenhouse	Up	34	
LNE	0312	Haydon Bridge	Down	108	
LNE	0312	Haydon Bridge	Up	110	
LNE	0312	Headingley	Down	97	
LNE	0312	Headingley	Up	97	
LNE	0312	Healing	Down	56	
LNE	0312	Healing	Up	56	
LNE	0312	Hebden Bridge	Down	110	
LNE	0312	Hebden Bridge	Up	121	
LNE	0312	Heckington	Down	96	
LNE	0312	Heckington	Up	108	
LNE	0312	Heighington	Down	103	
LNE	0312	Heighington	Up	90	
LNE	0312	Hensall	Down	50	
LNE	0312	Hensall	Up	50	
LNE	0312	Hertford North	1	154	
LNE	0312	Hertford North	2	153	
LNE	0312	Hertford North	3	145	
LNE	0312	Hessle	Down	105	
LNE	0312	Hessle	Up	105	
LNE	0312	Heworth	Down	120	
LNE	0312	Heworth	Up	120	
LNE	0312	Hexham	Down	102	
LNE	0312	Hexham	Up	102	
LNE	0312	Highbury and Islington (Northern City Line)	Down	126	
LNE	0312	Highbury and Islington (Northern City Line)	Up	128	
LNE	0312	Hitchin	Down	249	
LNE	0312	Hitchin	Up	247	
LNE	0312	Honley	Single	65	
LNE	0314	Kirton Lindsey	Single	129	
LNE	0314	Kiveton Bridge	Down	75	
LNE	0314	Kiveton Bridge	Up	75	
LNE	0314	Kiveton Park	Down	75	
LNE	0314	Kiveton Park	Up	74	
LNE	0314	Knaresborough	Down	82	
LNE	0314	Knaresborough	Up	83	
LNE	0314	Knebworth	Down Fast	169	
LNE	0314	Knebworth	Down Slow	169	
LNE	0314	Knebworth	Up Fast	169	
LNE	0314	Knebworth	Up Slow	169	
LNE	0314	Knottingley	Down	101	
LNE	0314	Knottingley	Up	101	
LNE	0314	Langwith Whaley Thorns	Down	79	
LNE	0314	Langwith Whaley Thorns	Up	79	
LNE	0314	Lealholm	Single	100	
LNE	0314	Leeds	0	204	
LNE	0314	Leeds	1	274	When a train is showing as occupying Platform 1 or 1a, then the non-preferred route for arrival into Platform 2 needs to be used
LNE	0314	Leeds	2	209	
LNE	0314	Leeds	3	132	
LNE	0314	Leeds	4	154	
LNE	0314	Leeds	5	206	
LNE	0314	Leeds	6	279	
LNE	0314	Leeds	7	105	
LNE	0314	Leeds	8	342	
LNE	0314	Leeds	8ab	166	
LNE	0314	Leeds	8cd	166	
LNE	0314	Leeds	9	265	
LNE	0314	Leeds	9b	106	
LNE	0314	Leeds	9cd	148	
LNE	0314	Leeds	10	99	
LNE	0314	Leeds	11	368	
LNE	0314	Leeds	11ab	149	
LNE	0314	Leeds	11cd	147	
LNE	0314	Leeds	12	309	
LNE	0314	Leeds	12ab	91	
LNE	0314	Leeds	12cd Westbound	146	
LNE	0314	Leeds	12cd Eastbound	123	
LNE	0314	Leeds	13	111	
LNE	0314	Leeds	14	80	
LNE	0314	Leeds	15	221	
LNE	0314	Leeds	15a	104	
LNE	0314	Leeds	15b	106	
LNE	0314	Leeds	16	218	
LNE	0314	Leeds	16a	107	
LNE	0314	Leeds	16b	100	
LNE	0314	Leeds	17	106	
LNE	0315	Leeds	Through Road (full length)	327	
LNE	0315	Leeds	Through Road West	100	
LNE	0315	Leeds	Through Road East	105	
LNE	0315	Letchworth	Down	184	
LNE	0315	Letchworth	Up	184	
LNE	0315	Lincoln	1	92	
LNE	0315	Lincoln	2	54	
LNE	0315	Lincoln	3	144	
LNE	0315	Lincoln	4	144	
LNE	0315	Lincoln	5	165	
LNE	0315	Lockwood	Single	65	
LNE	0315	London King’s Cross	0	305	Buffer stop to end of platform. Buffer to signal is 329m, which may be used by Caledonian Sleeper services only.
